,Revenue,Gross Profit,Net Income,debtRatio,priceEarningsRatio,AnualPriceVariation,year,Sector,Unnamed: 0,Market Cap,Graham Net-Net,EPS,priceToSalesRatio
0,74401000000.0,35371000000.0,11643000000.0,0.2455,18.7566,-9.323275997445537,2014,Consumer Defensive,PG,212661418090.84,-0.2007,4.19,2.8583
2,98375000000.0,20237000000.0,1519000000.0,0.3863,12.034,33.11829671550496,2014,Consumer Defensive,KR,18274698937.28,-0.8239,1.47,0.1858
3,25526413000.0,7323734000.0,249414000.0,0.8290000000000001,28.6087,2.7522914680574364,2014,Consumer Defensive,RAD,6359738316.4,-0.7506,4.6,0.2491
4,17909600000.0,6369800000.0,1824400000.0,0.3796,18.7034,12.897715165910551,2014,Consumer Defensive,GIS,33330057253.44,-0.3229,2.9,1.861
5,80106000000.0,19331000000.0,7493000000.0,0.8371,17.1113,13.980936777937483,2014,Consumer Defensive,PM,126550098153.0,-0.2442,4.76,1.5798
6,45998000000.0,28109000000.0,7098000000.0,0.4536,26.0617,5.339412837835392,2014,Consumer Defensive,KO,184928364569.22,-0.154,1.62,4.0204
7,476294000000.0,118225000000.0,16022000000.0,0.2766,15.2408,-26.65370178517993,2014,Consumer Defensive,WMT,241647485072.4,-0.2575,4.9,0.5073
8,34244000000.0,12597000000.0,2184000000.0,0.2494,28.1628,23.809817736521,2014,Consumer Defensive,MDLZ,61031608766.1,-0.4451,1.29,1.7823
9,24522000000.0,10160000000.0,5070000000.0,0.4262,19.2461,23.865489302331603,2014,Consumer Defensive,MO,97380679954.74,-0.2521,2.56,3.9712
10,14299586932.0315,9487495306.0458,4530792339.4668,0.0377,21.515,-22.605312498627963,2014,Consumer Defensive,ABEV,73093350000.0,-0.027000000000000003,0.2891,2.5584
11,313895205.0,162352089.0,60605772.0,0.0,30.41,65.3736654622368,2014,Consumer Defensive,TAL,15073300000.0,0.0164,0.13,1.9662
12,10892527224.9343,3195418700.7135,835523845.2873,0.3407,24.32800000000001,-38.54874897853703,2014,Consumer Defensive,BRFS,4241530000.0,-0.9067,0.9598,0.7023
13,10922000000.0,3277000000.0,657000000.0,0.3653,0.0,2.0659632484645383,2014,Consumer Defensive,KHC,88488316765.44,-0.2771,-0.17,8.4379
14,5727000000.0,2203400000.0,377800000.0,0.3781,27.8029,18.603845240198435,2014,Consumer Defensive,NWL,10326199000.0,-0.2341,1.37,1.8031
15,19724000000.0,6683000000.0,1526000000.0,0.448,28.3882,13.745828918763074,2014,Consumer Defensive,KMB,43033471612.74,-0.2084,4.07,2.1818
16,8268000000.0,2971000000.0,866000000.0,0.4949,15.3007,22.628762719616688,2014,Consumer Defensive,CPB,13256605154.23,-0.3327,2.76,1.6034
17,71279000000.0,21240000000.0,1971000000.0,0.2822,17.8742,-0.8406475611562578,2014,Consumer Defensive,TGT,35023979401.59,-0.4782,3.1,0.4914
18,9316256000.0,1564983000.0,602677000.0,0.0458,23.0395,58.66678305832708,2014,Consumer Defensive,HRL,13839371363.31,0.0209,1.14,1.4855
19,11838200000.0,2927400000.0,303100000.0,0.4631,34.1115,21.62501550596322,2014,Consumer Defensive,CAG,10343636363.0864,-0.941,0.72,0.8738
20,66683000000.0,35445000000.0,6513000000.0,0.4098,22.4432,8.886701373838283,2014,Consumer Defensive,PEP,144766700314.6,-0.2231,4.31,2.171
21,112640000000.0,14182000000.0,2058000000.0,0.1542,25.919,19.06252433079839,2014,Consumer Defensive,COST,53279224805.76,-0.0548,4.69,0.473
22,4551600000.0,2685900000.0,-97400000.0,0.4996,0.0,26.68124147146635,2014,Consumer Defensive,COTY,6499584972.51,-0.438,-0.26,1.4280000000000002
23,2464867000.0,1339810000.0,483185000.0,0.0,37.6216,37.72188931205835,2014,Consumer Defensive,MNST,18163585395.792,0.0677,0.96,7.369
24,5610600000.0,2031000000.0,565200000.0,0.2446,17.8376,25.632152051356968,2014,Consumer Defensive,SJM,10024646235.8,-0.2485,5.42,1.7867
25,17277000000.0,10109000000.0,2180000000.0,0.4568,29.0714,-1.3486026129171749,2014,Consumer Defensive,CL,63059649622.42,-0.1144,2.38,3.6499
26,81201000000.0,4768000000.0,2248000000.0,0.1286,15.1163,-27.728082300006594,2014,Consumer Defensive,ADM,33476952912.0,0.0496,3.44,0.4123
27,17504167000.0,5435742000.0,1025116000.0,0.2594,17.7666,2.7615954905003988,2014,Consumer Defensive,DG,18036771287.04,-0.1253,3.17,1.0304
28,4146300000.0,1653000000.0,514000000.0,0.2268,26.8058,29.902934797940002,2014,Consumer Defensive,TAP,12239223074.64,-0.3691,2.78,2.9518
29,46516712000.0,8181035000.0,931533000.0,0.208,23.5535,5.346119421342533,2014,Consumer Defensive,SYY,21892118150.35,-0.0545,1.59,0.4706
30,3297600000.0,1452900000.0,413900000.0,0.2493,25.7549,10.792636011688504,2014,Consumer Defensive,CHD,10542776620.05,-0.1175,1.53,3.1971
31,57161000000.0,2621000000.0,515000000.0,0.2426,28.4094,-23.422109738587288,2014,Consumer Defensive,BG,13199713450.36,0.0257,3.2,0.2309
32,597381000.0,335551000.0,72615000.0,0.5204,19.3262,49.60767152141679,2014,Consumer Defensive,PBH,1411554877.75,-0.7475,1.41,2.3629
33,5124755000.0,2007369000.0,125295000.0,0.0443,11.7982,-0.2272977358874182,2014,Consumer Defensive,BIG,1501585605.84,0.1884,2.18,0.293
34,4867700000.0,1991700000.0,1943100000.0,0.4909,7.7541,47.19279042772357,2014,Consumer Defensive,STZ,15400713974.34,-0.4268,10.45,3.1639
35,2967424000.0,885203000.0,107692000.0,0.2973,45.7778,-21.840094665490188,2014,Consumer Defensive,SFM,4975359330.56,-0.0703,0.72,1.6767
36,7648000000.0,4641100000.0,-388600000.0,0.4557,0.0,-54.549047402205545,2014,Consumer Defensive,AVP,4081416675.57,-0.5456,-0.88,0.5337
37,1372316000.0,548273000.0,-111491000.0,0.0813,0.0,5.779507164831419,2014,Consumer Defensive,HMHC,2930050033.73,-0.01,-0.79,2.1351
